,college,draft_rank,draft_year,height_in,name,reach_in,weight_lb,wingspan_in
0,Purdue University,1,1980,,Joe Barry Carroll,,,
1,University of Louisville,2,1980,,Darrell Griffith,,,
2,University of Minnesota,3,1980,,Kevin McHale,,,
3,Ohio State University,4,1980,,Kelvin Ransey,,,
4,Jacksonville University,5,1980,,James Ray,,,
5,University of North Carolina,6,1980,,Mike O'Koren,,,
6,Duke University,7,1980,,Mike Gminski,,,
7,University of Louisiana at Lafayette,8,1980,,Andrew Toney,,,
8,La Salle University,9,1980,,Michael Brooks,,,
9,University of Iowa,10,1980,,Ronnie Lester,,,
10,"University of California, Los Angeles",11,1980,,Kiki Vandeweghe,,,
11,Indiana University,12,1980,,Mike Woodson,,,
12,Mississippi State University,13,1980,,Rickey Brown,,,
13,University of Wisconsin,14,1980,,Wes Matthews,,,
14,University of Tennessee,15,1980,,Reggie Johnson,,,
15,North Carolina State University,16,1980,,Hawkeye Whitney,,,
16,University of Missouri,17,1980,,Larry Drew,,,
17,Washington State University,18,1980,,Don Collins,,,
18,Georgetown University,19,1980,,John Duren,,,
19,University of Notre Dame,20,1980,,Bill Hanzlik,,,
20,Tennessee State University,21,1980,,Monti Davis,,,
21,University of North Carolina at Charlotte,22,1980,,Chad Kinch,,,
22,Indiana State University,23,1980,,Carl Nicks,,,
23,Alcorn State University,24,1980,,Larry Smith,,,
24,Iona College,25,1980,,Jeff Ruland,,,
25,Marquette University,26,1980,,Sam Worthen,,,
26,University of Mississippi,27,1980,,John Stroud,,,
27,Georgetown University,28,1980,,Craig Shelton,,,
28,Syracuse University,29,1980,,Louis Orr,,,
29,University of Louisiana at Monroe,30,1980,,Kenny Natt,,,
30,Virginia Polytechnic Institute and State University,31,1980,,Wayne Robinson,,,
31,Hampton University,35,1980,,Rick Mahorn,,,
32,Louisiana State University,36,1980,,DeWayne Scales,,,
33,Indiana University,37,1980,,Butch Carter,,,
34,"California State University, Long Beach",39,1980,,Michael Wiley,,,
35,University of Toledo,40,1980,,Dick Miller,,,
36,Seattle University,41,1980,,Jawann Oldham,,,
37,Southern Methodist University,45,1980,,Brad Branson,,,
38,Arizona State University,47,1980,,Kurt Nimphius,,,
39,"University of California, Los Angeles",50,1980,,James Wilkes,,,
40,Old Dominion University,51,1980,,Ronnie Valentine,,,
41,West Virginia University,52,1980,,Lowes Moore,,,
42,North Park University,56,1980,,Mike Harper,,,
43,Texas A&M University,57,1980,,Dave Britton,,,
44,Santa Clara University,58,1980,,Kurt Rambis,,,
45,University of North Carolina,61,1980,,Rich Yonakor,,,
46,Tuskegee University,66,1980,,Carl Bailey,,,
47,University of Portland,70,1980,,Darwin Cook,,,
48,Villanova University,75,1980,,Rory Sparrow,,,
49,Florida State University,87,1980,,Tony Jackson,,,
50,Pepperdine University,93,1980,,Tony Fuller,,,
51,San Jose State University,99,1980,,Wally Rank,,,
52,"University of California, Los Angeles",103,1980,,Darrell Allums,,,
53,University of Washington,141,1980,,Lorenzo Romar,,,
54,University of Montana,168,1980,,John Stroeder,,,
55,Lamar University,169,1980,,Clarence Kea,,,
56,University of San Francisco,182,1980,,Billy Reid,,,
57,DePaul University,1,1981,,Mark Aguirre,,,
58,Indiana University,2,1981,,Isiah Thomas,,,
59,University of Maryland,3,1981,,Buck Williams,,,
60,University of North Carolina,4,1981,,Al Wood,,,
61,University of Utah,5,1981,,Danny Vranes,,,
62,University of Notre Dame,6,1981,,Orlando Woolridge,,,
63,Oregon State University,7,1981,,Steve Johnson,,,
64,University of Utah,8,1981,,Tom Chambers,,,
65,Kansas State University,9,1981,,Rolando Blackman,,,
66,University of Maryland,10,1981,,Albert King,,,
67,Wake Forest University,11,1981,,Frank Johnson,,,
68,University of Notre Dame,12,1981,,Kelly Tripucka,,,
69,Syracuse University,13,1981,,Danny Schayes,,,
70,Ohio State University,14,1981,,Herb Williams,,,
71,University of Virginia,15,1981,,Jeff Lamp,,,
72,University of Kansas,16,1981,,Darnell Valentine,,,
73,Alabama State University,17,1981,,Kevin Loder,,,
74,Indiana University,18,1981,,Ray Tolbert,,,
75,University of Michigan,19,1981,,Mike McGee,,,
76,Clemson University,20,1981,,Larry Nance,,,
77,Arizona State University,21,1981,,Alton Lister,,,
78,Cleveland State University,22,1981,,Franklin Edwards,,,
79,University of Wyoming,23,1981,,Charles Bradley,,,
80,Michigan State University,24,1981,,Jay Vincent,,,
81,University of Notre Dame,25,1981,,Tracy Jackson,,,
82,University of Tennessee,27,1981,,Howard Wood,,,
83,Duke University,28,1981,,Gene Banks,,,
84,University of Illinois at Urbana-Champaign,29,1981,,Eddie Johnson,,,
85,University of South Alabama,30,1981,,Ed Rains,,,
86,Brigham Young University,31,1981,,Danny Ainge,,,
87,Arizona State University,33,1981,,Sam Williams,,,
88,University of Texas-Pan American,34,1981,,Ken Green,,,
89,Vanderbilt University,35,1981,,Charles Davis,,,
90,Oregon State University,36,1981,,Ray Blume,,,
91,University of Wisconsin,41,1981,,Claude Gregory,,,
92,University of Mississippi,43,1981,,Elston Turner,,,
93,South Dakota State University,44,1981,,Steve Lingenfelter,,,
94,Saint Louis University,49,1981,,David Burns,,,
95,Louisiana State University,52,1981,,Rudy Macklin,,,
96,Oregon State University,53,1981,,Mark Radford,,,
97,Ohio State University,54,1981,,Jim Smith,,,
98,Florida State University,55,1981,,Mickey Dillard,,,
99,Pennsylvania State University,57,1981,,Frank Brickowski,,,
100,University of Washington,61,1981,,Petur Gudmundsson,,,
101,"California State University, Long Beach",66,1981,,Craig Dykema,,,
102,Drake University,76,1981,,Lewis Lloyd,,,
103,Duke University,78,1981,,Kenny Dennard,,,
104,Howard University,81,1981,,Larry Spriggs,,,
105,"California State University, Fresno",85,1981,,Pete Verhoeven,,,
106,Villanova University,86,1981,,Alex Bradley,,,
107,Creighton University,88,1981,,Kevin McKenna,,,
108,University of Colorado,95,1981,,Joe Cooper,,,
109,University of Memphis,102,1981,,Hank McDowell,,,
110,College of the Holy Cross,103,1981,,Garry Witts,,,
111,University of Louisville,130,1981,,Roger Burkman,,,
112,William Paterson University,150,1981,,Clinton Wheeler,,,
113,Auburn University,165,1981,,Bobby Cattage,,,
114,State University of New York at Potsdam,211,1981,,Derrick Rowland,,,
115,University of North Carolina,1,1982,,James Worthy,,,
116,DePaul University,2,1982,,Terry Cummings,,,
117,University of Georgia,3,1982,,Dominique Wilkins,,,
118,University of Wyoming,4,1982,,Bill Garnett,,,
119,University of Texas at Austin,5,1982,,LaSalle Thompson,,,
120,University of Minnesota,6,1982,,Trent Tucker,,,
121,University of San Francisco,7,1982,,Quintin Dailey,,,
122,Ohio State University,8,1982,,Clark Kellogg,,,
123,Wichita State University,9,1982,,Cliff Levingston,,,
124,Purdue University,10,1982,,Keith Edmonson,,,
125,Arizona State University,11,1982,,Fat Lever,,,
126,Boston College,12,1982,,John Bagley,,,
127,Georgetown University,13,1982,,Sleepy Floyd,,,
128,Oregon State University,14,1982,,Lester Conner,,,
129,Bradley University,15,1982,,David Thirdkill,,,
130,Baylor University,16,1982,,Terry Teagle,,,
131,Georgia Institute of Technology,17,1982,,Brook Steppe,,,
132,Rice University,18,1982,,Ricky Pierce,,,
133,University of Houston,19,1982,,Rob Williams,,,
134,University of Tulsa,20,1982,,Paul Pressey,,,
135,University of Alabama,21,1982,,Eddie Phillips,,,
136,University of California,22,1982,,Mark McNamara,,,
137,Cleveland State University,23,1982,,Darren Tillis,,,
138,University of Alabama at Birmingham,24,1982,,Oliver Robinson,,,
139,Saint Joseph's University,25,1982,,Bryan Warrick,,,
140,Brigham Young University,27,1982,,Fred Roberts,,,
141,University of Kansas,28,1982,,Dave Magley,,,
142,University of Arkansas,29,1982,,Scott Hastings,,,
143,University of San Francisco,30,1982,,Wallace Bryant,,,
144,"California State University, Fresno",31,1982,,Rod Higgins,,,
145,"University of California, Santa Barbara",32,1982,,Richard Anderson,,,
146,James Madison University,33,1982,,Linton Townes,,,
147,Duke University,34,1982,,Vince Taylor,,,
148,University of Louisville,35,1982,,Derek Smith,,,
149,Bradley University,36,1982,,J.J. Anderson,,,
150,Jackson State University,37,1982,,Audie Norris,,,
151,Loyola University of Chicago,38,1982,,Wayne Sappleton,,,
152,Wake Forest University,40,1982,,Guy Morgan,,,
153,University of Southern California,41,1982,,Dwight Anderson,,,
154,Texas Tech University,42,1982,,Jeff Taylor,,,
155,University of Portland,43,1982,,Jose Slaughter,,,
156,University of South Carolina Upstate,44,1982,,Mike Gibson,,,
157,University of Tennessee at Chattanooga,45,1982,,Russ Schoene,,,
158,Marquette University,47,1982,,Michael Wilson,,,
159,"California State University, Long Beach",48,1982,,Craig Hodges,,,
160,University of Connecticut,50,1982,,Corny Thompson,,,
161,Wake Forest University,51,1982,,Jim Johnstone,,,
162,University of Louisville,55,1982,,Jerry Eaves,,,
163,University of Detroit Mercy,56,1982,,Joe Kopicki,,,
164,University of Wyoming,60,1982,,Chris Engler,,,
165,University of Maryland,61,1982,,Charles Pittman,,,
166,North Carolina State University,63,1982,,Chuck Nevitt,,,
167,University of Oregon,65,1982,,John Greig,,,
168,Northeastern University,69,1982,,Perry Moss,,,
169,"University of California, Los Angeles",72,1982,,Mark Eaton,,,
170,"University of California, Los Angeles",74,1982,,Mike Sanders,,,
171,University of Connecticut,76,1982,,Chuck Aleksinas,,,
172,Western Michigan University,78,1982,,Walker Russell,,,
173,University of Arkansas,82,1982,,Tony Brown,,,
174,University of South Alabama,86,1982,,Rory White,,,
175,University of Richmond,138,1982,,John Schweitz,,,
176,Colorado State University,140,1982,,Eddie Hughes,,,
177,Kansas State University,166,1982,,Ed Nealy,,,
178,Idaho State University,221,1982,,Dale Wilkinson,,,
179,University of Virginia,1,1983,,Ralph Sampson,,,
