,name,per,no_of_seasons,start_age,end_age,g,mp,fg,fga,fg3,fg3a,ft,fta,orb,ast,stl,blk,tov,pf,pts,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,height_in,weight_lb
0,Joe Barry Carroll,16.4,4.0,18,21,123,3831,875,1602,,,425,653,,,,,,,2175,.546,,.651,31.1,17.7,9.3,,84.0,225.0
1,Darrell Griffith,14.6,4.0,18,21,126,3895,981,1877,,,371,532,,,,,,,2333,.523,,.697,30.9,18.5,4.6,,76.0,190.0
2,Kevin McHale,20.0,4.0,19,22,112,,714,1290,,,276,357,,124,,,,,1704,.553,,.773,,15.2,8.5,1.1,82.0,210.0
3,Kelvin Ransey,14.8,4.0,18,21,112,3969,827,1688,,,280,359,,,,,,,1934,.490,,.780,35.4,17.3,3.7,,73.0,170.0
4,James Ray,10.0,4.0,19,22,110,2432,655,1200,,,281,414,,,,,,,1591,.546,,.679,29.7,14.5,7.2,,80.0,215.0
5,Mike O'Koren,12.1,4.0,18,21,117,,643,1124,,,479,660,,,,,,,1765,.572,,.726,,15.1,7.0,,79.0,207.0
6,Mike Gminski,16.3,4.0,17,20,122,1192,901,1697,,,521,658,,128,,,,,2323,.531,,.792,36.1,19.0,10.2,1.0,83.0,250.0
7,Andrew Toney,16.1,4.0,19,22,107,3527,996,1882,,,534,690,,,,,,,2526,.529,,.774,33.0,23.6,3.2,,75.0,178.0
8,Michael Brooks,15.2,4.0,18,21,114,967,1064,1976,,,500,714,,,,,,,2628,.538,,.700,34.5,23.1,12.0,,79.0,220.0
9,Ronnie Lester,13.0,4.0,18,21,99,,622,1321,,,431,557,,480,,,,,1675,.471,,.774,,16.9,2.3,4.8,74.0,175.0
10,Kiki Vandeweghe,18.4,4.0,18,21,113,2819,536,941,,,308,397,,,,,,,1380,.570,,.776,24.9,12.2,5.0,,80.0,220.0
11,Mike Woodson,15.0,4.0,18,21,104,,821,1626,,,419,537,,36,,,,,2061,.505,,.780,,19.8,5.6,2.6,77.0,195.0
12,Rickey Brown,9.8,4.0,18,21,107,3386,774,1588,,,290,421,,,,,,,1838,.487,,.689,31.6,17.2,10.2,,82.0,215.0
13,Wes Matthews,13.0,3.0,18,20,69,2349,489,1026,,,273,334,,,,,,,1251,.477,,.817,34.0,18.1,2.7,,73.0,170.0
14,Reggie Johnson,12.5,4.0,19,22,115,1904,864,1489,,,375,513,,,,,,,2103,.580,,.731,31.7,18.3,8.0,,81.0,205.0
15,Hawkeye Whitney,11.8,4.0,19,22,117,,826,1628,,,312,465,,,,,,,1964,.507,,.671,,16.8,5.6,,77.0,235.0
16,Larry Drew,14.0,4.0,18,21,117,3158,557,1164,,,287,385,,,,,,,1401,.479,,.745,35.5,12.0,2.8,,73.0,170.0
17,Don Collins,14.5,4.0,18,21,106,3017,614,1097,,,335,434,,,,,,,1563,.560,,.772,28.5,14.7,5.0,,78.0,190.0
18,John Duren,6.9,4.0,18,21,118,3249,647,1347,,,294,388,,,,,,,1588,.480,,.758,35.3,13.5,3.2,,75.0,195.0
19,Bill Hanzlik,11.2,4.0,19,22,109,1838,234,468,,,176,230,,,,,,,644,.500,,.765,16.9,5.9,2.4,,79.0,185.0
20,Monti Davis,4.5,4.0,18,21,98,,385,777,,,137,226,,,,,,,1344,.495,,.606,,13.7,12.0,,79.0,205.0
21,Chad Kinch,7.0,4.0,18,21,112,2877,846,1732,,,328,421,,,,,,,2020,.488,,.779,36.4,18.0,3.7,,76.0,190.0
22,Carl Nicks,10.5,3.0,18,21,85,167,554,1235,,,324,454,,,,,,,1432,.449,,.714,7.0,16.8,3.0,,73.0,175.0
23,Larry Smith,12.6,4.0,19,22,111,849,763,1335,,,326,522,,,,,,,1852,.572,,.625,32.7,16.7,11.1,,80.0,215.0
24,Jeff Ruland,18.7,3.0,19,21,89,,717,1130,,,421,619,,,,,,,1855,.635,,.680,,20.8,12.0,,82.0,240.0
25,Sam Worthen,8.7,2.0,21,22,56,1035,321,653,,,168,211,,384,,,,,810,.492,,.796,35.7,14.5,4.2,6.9,77.0,195.0
26,John Stroud,6.4,4.0,19,22,110,2175,894,1695,,,540,695,,,,,,,2328,.527,,.777,38.2,21.2,7.5,,79.0,215.0
27,Craig Shelton,8.7,4.0,19,22,93,2797,557,942,,,295,393,,,,,,,1409,.591,,.751,32.5,15.2,7.4,,79.0,210.0
28,Louis Orr,13.4,4.0,18,21,116,,593,1068,,,301,391,,,,,,,1487,.555,,.770,,12.8,7.6,,80.0,175.0
29,Kenny Natt,7.3,4.0,18,21,109,,414,852,,,175,226,,,,,,,1003,.486,,.774,,9.2,2.4,,75.0,185.0
30,Wayne Robinson,11.5,4.0,18,21,115,3024,495,957,,,293,394,,,,,,,1283,.517,,.744,26.3,11.2,7.4,,80.0,217.0
31,Rick Mahorn,11.6,4.0,18,21,119,1123,982,1839,,,454,666,,112,,,,,2418,.534,,.682,36.2,20.3,12.3,0.9,82.0,240.0
32,DeWayne Scales,10.9,3.0,19,21,84,2329,610,1162,,,138,221,,,,,,,1358,.525,,.624,27.7,16.2,8.7,,80.0,208.0
33,Butch Carter,12.7,4.0,18,21,114,2785,296,579,,,163,224,,,,,,,755,.511,,.728,24.4,6.6,2.5,,77.0,180.0
34,Michael Wiley,17.0,4.0,19,22,120,3600,814,1427,,,334,469,,,,,,,1962,.570,,.712,30.0,16.4,6.6,,81.0,200.0
35,Dick Miller,3.3,4.0,18,21,103,2515,521,1012,,,224,410,,,,,,,1266,.515,,.546,31.8,12.3,8.6,,78.0,215.0
36,Jawann Oldham,10.7,4.0,19,22,103,,667,1282,,,186,341,,,,,,,1520,.520,,.545,,14.8,9.3,,84.0,215.0
37,Brad Branson,14.4,2.0,20,21,54,1762,393,852,,,101,140,,,,,,,887,.461,,.721,32.6,16.4,9.6,,82.0,220.0
38,Kurt Nimphius,11.8,4.0,18,21,104,2299,398,679,,,210,310,,,,,,,1006,.586,,.677,22.1,9.7,6.0,,82.0,218.0
39,James Wilkes,11.2,4.0,18,21,110,1988,274,551,,,145,213,,145,,,,,693,.497,,.681,18.1,6.3,3.7,1.3,79.0,195.0
40,Ronnie Valentine,10.3,4.0,19,22,101,1651,963,1870,,,278,383,,,,,,,2204,.515,,.726,33.0,21.8,9.4,,79.0,210.0
41,Lowes Moore,10.7,4.0,19,22,113,3234,680,1434,,,336,441,,,,,,,1696,.474,,.762,28.6,15.0,3.3,,73.0,170.0
42,Dave Britton,18.0,2.0,20,21,67,1890,286,638,,,173,252,,,,,,,745,.448,,.687,28.2,11.1,3.1,,76.0,180.0
43,Kurt Rambis,13.1,4.0,18,21,108,1623,686,1316,,,354,545,,191,,,,,1726,.521,,.650,30.1,16.0,9.6,1.8,80.0,213.0
44,Rich Yonakor,20.4,4.0,18,21,110,,226,449,,,145,201,,,,,,,597,.503,,.721,,5.4,3.7,,81.0,220.0
45,Carl Bailey,-6.8,4.0,18,21,101,,580,956,,,266,385,,,,,,,1426,.607,,.691,,14.1,10.4,,84.0,210.0
46,Darwin Cook,13.8,4.0,18,21,109,2776,697,1426,,,284,389,,,,,,,1678,.489,,.730,33.9,15.4,3.5,,75.0,184.0
47,Rory Sparrow,12.0,4.0,18,21,124,2850,489,931,,,205,259,,,,,,,1183,.525,,.792,31.3,9.5,2.2,,74.0,175.0
48,Tony Jackson,12.9,4.0,19,22,108,3175,256,671,,,118,215,,,,,,,630,.382,,.549,29.4,5.8,2.2,,72.0,170.0
49,Tony Fuller,6.9,2.0,20,21,60,1954,381,728,,,219,286,,,,,,,981,.523,,.766,32.6,16.4,5.7,,76.0,180.0
50,Wally Rank,4.0,4.0,18,21,102,,562,1207,,,308,450,,,,,,,1432,.466,,.684,,14.0,6.5,,78.0,220.0
51,Darrell Allums,5.3,4.0,18,21,92,1201,123,252,,,99,144,,,,,,,345,.488,,.688,13.1,3.8,3.3,,81.0,220.0
52,Lorenzo Romar,13.0,2.0,20,21,55,1288,173,349,,,76,102,,,,,,,422,.496,,.745,23.4,7.7,1.6,,73.0,175.0
53,John Stroeder,7.4,4.0,18,21,98,653,371,732,,,205,298,,,,,,,947,.507,,.688,27.2,9.7,5.9,,82.0,260.0
54,Clarence Kea,13.8,4.0,17,20,117,,688,1337,,,438,695,,,,,,,1814,.515,,.630,,15.5,9.8,,78.0,218.0
55,Billy Reid,6.2,3.0,19,22,88,1550,387,770,,,167,264,,,,,,,941,.503,,.633,26.3,10.7,2.8,,77.0,190.0
56,Mark Aguirre,19.0,3.0,19,21,89,3324,863,1582,,,456,594,,294,93,35,195,159,2182,.546,,.768,37.3,24.5,7.9,3.3,78.0,232.0
57,Isiah Thomas,18.1,2.0,18,19,63,2176,366,685,,,236,312,,356,,,,,968,.534,,.756,34.5,15.4,3.5,5.7,73.0,180.0
58,Buck Williams,15.3,3.0,18,20,85,1080,446,725,,,261,419,,76,,,,,1153,.615,,.623,34.8,13.6,10.9,0.9,80.0,215.0
59,Al Wood,13.9,4.0,19,22,126,,825,1474,,,365,478,,,,,,,2015,.560,,.764,,16.0,5.0,,78.0,193.0
60,Danny Vranes,9.3,4.0,19,22,111,3455,644,1103,,,435,608,,,,,,,1716,.584,,.715,31.1,15.5,8.6,,79.0,210.0
61,Orlando Woolridge,16.6,4.0,18,21,109,2741,466,783,,,228,341,,135,,,,,1160,.595,,.669,25.1,10.6,5.0,1.2,81.0,215.0
62,Steve Johnson,15.3,5.0,19,23,116,2829,828,1222,,,379,592,,,,,,,2035,.678,,.640,24.4,17.5,6.8,,82.0,235.0
63,Tom Chambers,16.5,4.0,18,21,116,2959,691,1249,,,316,475,,82,,,,,1698,.553,,.665,25.5,14.6,7.6,0.7,82.0,220.0
