,link,name,draft_rank,draft_year,seasons,per
0,/players/l/laniebo01.html,Bob Lanier,1.0,1970.0,14.0,12.4
1,/players/t/tomjaru01.html,Rudy Tomjanovich,2.0,1970.0,11.0,12.4
2,/players/m/maravpe01.html,Pete Maravich,3.0,1970.0,10.0,12.4
3,/players/c/cowenda01.html,Dave Cowens,4.0,1970.0,11.0,12.4
4,/players/l/laceysa01.html,Sam Lacey,5.0,1970.0,13.0,12.4
5,/players/a/ardji01.html,Jim Ard,6.0,1970.0,8.0,12.4
6,/players/j/johnsjo01.html,John Johnson,7.0,1970.0,12.0,12.4
7,/players/p/petrige01.html,Geoff Petrie,8.0,1970.0,6.0,12.4
8,/players/j/johnsge01.html,George Johnson,9.0,1970.0,4.0,12.4
9,/players/j/johnsge02.html,George Johnson,79.0,1970.0,13.0,12.4
10,/players/j/johnsge03.html,George Johnson,12.0,1978.0,8.0,12.4
11,/players/h/howargr01.html,Greg Howard,10.0,1970.0,2.0,12.4
12,/players/c/colliji01.html,Jimmy Collins,11.0,1970.0,2.0,12.4
13,/players/h/henryal01.html,Al Henry,12.0,1970.0,2.0,12.4
14,/players/m/mcmilji01.html,Jim McMillian,13.0,1970.0,9.0,12.4
15,/players/v/vallejo01.html,John Vallely,14.0,1970.0,2.0,12.4
16,/players/h/hummejo01.html,John Hummer,15.0,1970.0,6.0,12.4
17,/players/f/freemga01.html,Gary Freeman,16.0,1970.0,1.0,12.4
18,/players/p/pricemi01.html,Mike Price,17.0,1970.0,3.0,12.4
19,/players/m/murphca01.html,Calvin Murphy,18.0,1970.0,13.0,12.4
20,/players/a/architi01.html,Tiny Archibald,19.0,1970.0,13.0,12.4
21,/players/f/fordja01.html,Jake Ford,20.0,1970.0,2.0,12.4
22,/players/m/morgare01.html,Rex Morgan,21.0,1970.0,2.0,12.4
23,/players/c/crosspe01.html,Pete Cross,23.0,1970.0,3.0,12.4
24,/players/w/warneco01.html,Cornell Warner,24.0,1970.0,7.0,12.4
25,/players/g/gilmowa01.html,Walt Gilmore,25.0,1970.0,1.0,12.4
26,/players/s/sorenda01.html,Dave Sorenson,26.0,1970.0,3.0,12.4
27,/players/t/taylofr01.html,Fred Taylor,27.0,1970.0,2.0,12.4
28,/players/r/ruffnpa01.html,Paul Ruffner,28.0,1970.0,4.0,12.4
29,/players/d/deprejo01.html,Joe DePre,29.0,1970.0,,12.4
30,/players/k/killuea01.html,Earnie Killum,30.0,1970.0,1.0,12.4
31,/players/h/hesteda01.html,Dan Hester,31.0,1970.0,,12.4
32,/players/z/zopfbi01.html,Bill Zopf,33.0,1970.0,1.0,12.4
33,/players/w/wrighho01.html,Howie Wright,34.0,1970.0,,12.4
34,/players/p/perrycu01.html,Curtis Perry,35.0,1970.0,8.0,12.4
35,/players/h/higgiea01.html,Earle Higgins,36.0,1970.0,,12.4
36,/players/w/williwi01.html,Willie Williams,38.0,1970.0,1.0,12.4
37,/players/h/hydergr01.html,Greg Hyder,39.0,1970.0,1.0,12.4
38,/players/h/heardga01.html,Gar Heard,40.0,1970.0,11.0,12.4
39,/players/a/awtrede01.html,Dennis Awtrey,46.0,1970.0,12.0,12.4
40,/players/h/hayesji01.html,Jim Hayes,47.0,1970.0,,12.4
41,/players/w/williva01.html,Vann Williford,48.0,1970.0,,12.4
42,/players/w/winklma01.html,Marv Winkler,50.0,1970.0,1.0,12.4
43,/players/w/willial01.html,Al Williams,51.0,1970.0,,12.4
44,/players/o/ogdenra01.html,Ralph Ogden,53.0,1970.0,1.0,12.4
45,/players/s/stricbi01.html,Bill Stricker,54.0,1970.0,1.0,12.4
46,/players/w/wilsoji01.html,Jim Wilson,62.0,1970.0,,12.4
47,/players/m/mikanla01.html,Larry Mikan,64.0,1970.0,1.0,12.4
48,/players/f/fontale01.html,Levi Fontaine,70.0,1970.0,1.0,12.4
49,/players/k/knighro01.html,Ron Knight,76.0,1970.0,2.0,12.4
50,/players/r/rileybo01.html,Bob Riley,82.0,1970.0,1.0,12.4
51,/players/z/zellega01.html,Gary Zeller,83.0,1970.0,2.0,12.4
52,/players/g/grossmi01.html,Mike Grosso,84.0,1970.0,,12.4
53,/players/b/bartovi01.html,Vic Bartolome,87.0,1970.0,1.0,12.4
54,/players/r/robinsa01.html,Samuel Robinson,91.0,1970.0,,12.4
55,/players/c/cookejo01.html,Joe Cooke,94.0,1970.0,1.0,12.4
56,/players/t/thomajo01.html,Joe Thomas,95.0,1970.0,1.0,12.4
57,/players/k/kluttlo01.html,Lonnie Kluttz,96.0,1970.0,,12.4
58,/players/p/paultbi01.html,Billy Paultz,103.0,1970.0,15.0,12.4
59,/players/s/scottch01.html,Charlie Scott,106.0,1970.0,10.0,12.4
60,/players/e/englicl01.html,Claude English,110.0,1970.0,1.0,12.4
61,/players/a/adamsdo01.html,Don Adams,120.0,1970.0,7.0,12.4
62,/players/i/isselda01.html,Dan Issel,122.0,1970.0,15.0,12.4
63,/players/c/croftbo01.html,Bobby Croft,123.0,1970.0,,12.4
64,/players/i/irvinge01.html,George Irvine,125.0,1970.0,,12.4
65,/players/p/pattest01.html,Steve Patterson,129.0,1970.0,5.0,12.4
67,/players/m/mountri01.html,Rick Mount,132.0,1970.0,,12.4
68,/players/w/whitehe01.html,Herb White,133.0,1970.0,1.0,12.4
69,/players/f/fillmgr01.html,Greg Fillmore,136.0,1970.0,2.0,12.4
70,/players/v/virdecl01.html,Claude Virden,142.0,1970.0,,12.4
71,/players/h/hamiljo01.html,Joe Hamilton,152.0,1970.0,,12.4
72,/players/b/bankswa01.html,Walker Banks,153.0,1970.0,,12.4
73,/players/d/dietrco01.html,Coby Dietrick,155.0,1970.0,13.0,12.4
74,/players/m/maloymi01.html,Mike Maloy,157.0,1970.0,,12.4
75,/players/l/lloydch01.html,Chuck Lloyd,159.0,1970.0,,12.4
76,/players/t/taylool01.html,Oliver Taylor,189.0,1970.0,,12.4
77,/players/s/smithra01.html,Randy Smith,205.0,1970.0,12.0,12.4
79,/players/s/sanforo01.html,Ron Sanford,212.0,1970.0,,12.4
80,/players/w/wilsost01.html,Stephen Wilson,227.0,1970.0,,12.4
81,/players/c/carrau01.html,Austin Carr,1.0,1971.0,10.0,12.4
82,/players/w/wickssi01.html,Sidney Wicks,2.0,1971.0,10.0,12.4
83,/players/s/smithel01.html,Elmore Smith,3.0,1971.0,8.0,12.4
84,/players/d/durreke01.html,Ken Durrett,4.0,1971.0,4.0,12.4
85,/players/t/trappge01.html,George Trapp,5.0,1971.0,6.0,12.4
86,/players/b/brownfr01.html,Fred Brown,6.0,1971.0,13.0,12.4
87,/players/m/meelycl01.html,Cliff Meely,7.0,1971.0,5.0,12.4
88,/players/h/hillmda01.html,Darnell Hillman,8.0,1971.0,9.0,12.4
89,/players/l/lovest01.html,Stan Love,9.0,1971.0,4.0,12.4
90,/players/g/glovecl01.html,Clarence Glover,10.0,1971.0,1.0,12.4
91,/players/r/rowecu01.html,Curtis Rowe,11.0,1971.0,8.0,12.4
92,/players/c/cleamji01.html,Jim Cleamons,13.0,1971.0,9.0,12.4
93,/players/r/rochejo01.html,John Roche,14.0,1971.0,8.0,12.4
94,/players/m/mcintke01.html,Kenny McIntosh,15.0,1971.0,4.0,12.4
95,/players/m/meminde01.html,Dean Meminger,16.0,1971.0,6.0,12.4
96,/players/j/jonesco01.html,Collis Jones,17.0,1971.0,,12.4
97,/players/h/hiltofr01.html,Fred Hilton,19.0,1971.0,2.0,12.4
98,/players/s/sojouwi01.html,Willard Sojourner,20.0,1971.0,,12.4
99,/players/m/mengejo01.html,John Mengelt,21.0,1971.0,10.0,12.4
100,/players/m/mcclate01.html,Ted McClain,22.0,1971.0,8.0,12.4
101,/players/m/mcdanji01.html,Jim McDaniels,23.0,1971.0,5.0,12.4
102,/players/n/newlimi01.html,Mike Newlin,24.0,1971.0,11.0,12.4
103,/players/y/yelvech01.html,Charlie Yelverton,25.0,1971.0,1.0,12.4
104,/players/f/fisheri01.html,Richard Fisher,27.0,1971.0,,12.4
105,/players/w/wilsois01.html,Isaiah Wilson,29.0,1971.0,1.0,12.4
106,/players/h/haywosp01.html,Spencer Haywood,30.0,1971.0,13.0,12.4
107,/players/p/porteho01.html,Howard Porter,32.0,1971.0,7.0,12.4
108,/players/l/longwi01.html,Willie Long,35.0,1971.0,,12.4
109,/players/s/steella01.html,Larry Steele,37.0,1971.0,9.0,12.4
110,/players/h/hallije01.html,Jeff Halliburton,39.0,1971.0,2.0,12.4
111,/players/r/raycl01.html,Clifford Ray,40.0,1971.0,10.0,12.4
112,/players/r/ridglja01.html,Jackie Ridgle,41.0,1971.0,1.0,12.4
113,/players/s/smithwi01.html,William Smith,42.0,1971.0,2.0,12.4
114,/players/r/rinalri01.html,Rich Rinaldi,43.0,1971.0,3.0,12.4
115,/players/r/robisda01.html,Dave Robisch,44.0,1971.0,13.0,12.4
116,/players/r/roberma01.html,Marv Roberts,45.0,1971.0,6.0,12.4
117,/players/w/wohlda01.html,Dave Wohl,46.0,1971.0,7.0,12.4
118,/players/g/galemi01.html,Mike Gale,47.0,1971.0,11.0,12.4
119,/players/l/laytomo01.html,Mo Layton,48.0,1971.0,5.0,12.4
120,/players/g/gibbsdi01.html,Dick Gibbs,49.0,1971.0,5.0,12.4
121,/players/m/mayfike01.html,Ken Mayfield,50.0,1971.0,1.0,12.4
122,/players/o/obrieji01.html,Jimmy O'Brien,53.0,1971.0,,12.4
123,/players/f/fieldbo01.html,Bobby Fields,54.0,1971.0,,12.4
124,/players/c/catlesi01.html,Sid Catlett,55.0,1971.0,1.0,12.4
125,/players/o/owensto01.html,Tom Owens,58.0,1971.0,12.0,12.4
126,/players/a/allenwi01.html,Willie Allen,60.0,1971.0,,12.4
127,/players/d/dentora01.html,Randy Denton,61.0,1971.0,6.0,12.4
128,/players/d/durhaja01.html,Jarrett Durham,62.0,1971.0,,12.4
129,/players/b/brownro02.html,Roger Brown,64.0,1971.0,5.0,12.4
130,/players/s/szczewa01.html,Walt Szczerbiak,65.0,1971.0,,12.4
131,/players/m/mahonbr01.html,Brian Mahoney,69.0,1971.0,,12.4
132,/players/a/allisod01.html,Odis Allison,76.0,1971.0,1.0,12.4
133,/players/g/gardnke01.html,Kenneth Gardner,82.0,1971.0,,12.4
134,/players/n/nelsoba01.html,Barry Nelson,85.0,1971.0,1.0,12.4
135,/players/m/mcgregi01.html,Gil McGregor,89.0,1971.0,1.0,12.4
136,/players/j/johnsch01.html,Charles Johnson,93.0,1971.0,7.0,12.4
137,/players/j/jonesja01.html,Jake Jones,97.0,1971.0,1.0,12.4
138,/players/g/gilmoar01.html,Artis Gilmore,117.0,1971.0,17.0,12.4
139,/players/p/phillge01.html,Gene Phillips,119.0,1971.0,,12.4
140,/players/d/davisch01.html,Charlie Davis,120.0,1971.0,3.0,12.4
141,/players/l/lowerch01.html,Charlie Lowery,125.0,1971.0,1.0,12.4
142,/players/y/yatesba01.html,Barry Yates,131.0,1971.0,1.0,12.4
143,/players/k/kennego01.html,Goo Kennedy,139.0,1971.0,6.0,12.4
144,/players/d/dinkija01.html,Jackie Dinkins,150.0,1971.0,1.0,12.4
145,/players/p/pagetda01.html,Dana Pagett,178.0,1971.0,,12.4
146,/players/s/smithal01.html,Al Smith,180.0,1971.0,,12.4
147,/players/s/smithpe01.html,Pete Smith,197.0,1971.0,,12.4
148,/players/d/dorsero01.html,Ron Dorsey,204.0,1971.0,,12.4
149,/players/r/russepi01.html,Pierre Russell,207.0,1971.0,,12.4
150,/players/k/kinglo01.html,Loyd King,224.0,1971.0,,12.4
151,/players/m/martila01.html,LaRue Martin,1.0,1972.0,4.0,12.4
152,/players/m/mcadobo01.html,Bob McAdoo,2.0,1972.0,14.0,12.4
153,/players/d/davisdw01.html,Dwight Davis,3.0,1972.0,5.0,12.4
154,/players/c/calhoco01.html,Corky Calhoun,4.0,1972.0,8.0,12.4
155,/players/b/boydfr01.html,Freddie Boyd,5.0,1972.0,6.0,12.4
156,/players/l/leeru01.html,Russ Lee,6.0,1972.0,3.0,12.4
157,/players/s/stallbu01.html,Bud Stallworth,7.0,1972.0,5.0,12.4
158,/players/r/rikerto01.html,Tom Riker,8.0,1972.0,3.0,12.4
159,/players/n/nashbo01.html,Bob Nash,9.0,1972.0,5.0,12.4
160,/players/w/westppa01.html,Paul Westphal,10.0,1972.0,12.0,12.4
161,/players/s/simpsra01.html,Ralph Simpson,11.0,1972.0,10.0,12.4
162,/players/e/ervinju01.html,Julius Erving,12.0,1972.0,16.0,12.4
163,/players/g/granttr01.html,Travis Grant,13.0,1972.0,2.0,12.4
164,/players/d/davisbo01.html,Bob Davis,14.0,1972.0,1.0,12.4
165,/players/f/foxha01.html,Harold Fox,15.0,1972.0,1.0,12.4
166,/players/p/priceji01.html,Jim Price,16.0,1972.0,7.0,12.4
167,/players/f/fordch01.html,Chris Ford,17.0,1972.0,10.0,12.4
168,/players/w/wrighjo01.html,Joby Wright,18.0,1972.0,1.0,12.4
169,/players/s/sibersa01.html,Sam Sibert,19.0,1972.0,1.0,12.4
170,/players/g/gianejo01.html,John Gianelli,20.0,1972.0,8.0,12.4
171,/players/b/bracest01.html,Steve Bracey,21.0,1972.0,3.0,12.4
172,/players/s/stovapa01.html,Paul Stovall,22.0,1972.0,1.0,12.4
173,/players/t/taylobr01.html,Brian Taylor,23.0,1972.0,10.0,12.4
174,/players/h/hawesst01.html,Steve Hawes,24.0,1972.0,10.0,12.4
175,/players/p/patteto01.html,Tom Patterson,25.0,1972.0,2.0,12.4
176,/players/t/twardda01.html,Dave Twardzik,26.0,1972.0,8.0,12.4
177,/players/w/wuycide01.html,Dennis Wuycik,27.0,1972.0,,12.4
178,/players/r/ratlimi01.html,Mike Ratliff,28.0,1972.0,2.0,12.4
179,/players/t/terrych01.html,Chuck Terry,29.0,1972.0,5.0,12.4
180,/players/j/johnsol01.html,Ollie Johnson,30.0,1972.0,10.0,12.4
181,/players/n/nealll01.html,Lloyd Neal,31.0,1972.0,7.0,12.4
182,/players/e/englisc01.html,Scott English,33.0,1972.0,1.0,12.4
183,/players/b/busedo01.html,Don Buse,34.0,1972.0,13.0,12.4
184,/players/r/russefr01.html,Frank Russell,35.0,1972.0,1.0,12.4
185,/players/m/mcwiler01.html,Eric McWilliams,37.0,1972.0,1.0,12.4
186,/players/r/rileyro01.html,Ron Riley,38.0,1972.0,4.0,12.4
187,/players/p/porteke01.html,Kevin Porter,39.0,1972.0,10.0,12.4
188,/players/c/creigji01.html,Jim Creighton,40.0,1972.0,1.0,12.4
189,/players/t/truitan01.html,Ansley Truitt,41.0,1972.0,,12.4
190,/players/t/terrycl01.html,Claude Terry,42.0,1972.0,6.0,12.4
191,/players/c/chambbi01.html,Bill Chamberlain,43.0,1972.0,2.0,12.4
192,/players/a/adamsge01.html,George Adams,46.0,1972.0,,12.4
193,/players/s/schadfr01.html,Frank Schade,53.0,1972.0,1.0,12.4
194,/players/r/robinwi01.html,Wilbert Robinson,54.0,1972.0,,12.4
195,/players/s/sandeal01.html,Al Sanders,56.0,1972.0,,12.4
196,/players/b/bibbyhe01.html,Henry Bibby,58.0,1972.0,9.0,12.4
197,/players/c/cashsa01.html,Sam Cash,66.0,1972.0,,12.4
198,/players/b/bustida01.html,David Bustion,68.0,1972.0,,12.4
199,/players/s/silasja01.html,James Silas,70.0,1972.0,10.0,12.4
200,/players/l/lackebo01.html,Bob Lackey,71.0,1972.0,,12.4
201,/players/f/fordbo01.html,Bob Ford,74.0,1972.0,,12.4
202,/players/d/dudlech01.html,Charles Dudley,76.0,1972.0,6.0,12.4
