,ast,ast_per_g,blk,college,draft_rank,draft_year,end_age,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,g,height_in,mp,mp_per_g,name,name_index,no_of_seasons,per,pts,pts_per_g,reach_in,start_age,stl,trb_per_g,weight_lb,wingspan_in,salary,position,birthday,shoot,inflation,adjusted_salary,month
0,288.0,2.3,481.0,Wake Forest University,1.0,1997.0,20.0,790.0,17.0,0.321,53.0,0.5770000000000001,1368.0,520.0,0.6890000000000001,755.0,128.0,78.41655801825294,4492.0,35.1,Tim Duncan,1.0,4.0,24.2,2117.0,16.5,104.5220836660855,17.0,69.0,12.3,213.9072762395364,83.25422800222206,2967840.0,Center and Power Forward,1976-04-25,Right,1.5,4451760.0,4.0
1,142.0,1.2,126.0,University of Utah,2.0,1997.0,21.0,891.0,206.0,0.401,514.0,0.522,1706.0,554.0,0.851,651.0,122.0,81.5,3732.0,30.6,Keith Van Horn,1.0,4.0,16.8,2542.0,20.8,108.55308522729193,18.0,87.0,8.8,240.0,86.28291625189779,2655360.0,Small Forward and Power Forward,1975-10-23,Right,1.5,3983040.0,10.0
2,282.0,5.1,8.0,University of Colorado,3.0,1997.0,20.0,297.0,120.0,0.382,314.0,0.413,719.0,306.0,0.857,357.0,55.0,75.0,1866.0,33.9,Chauncey Billups,1.0,2.0,18.8,1020.0,18.5,100.05565827610225,19.0,104.0,5.6,207.0,79.95309734044248,2384640.0,Point Guard and Shooting Guard,1976-09-25,Right,1.5,3576960.0,9.0
3,573.0,5.2,30.0,Bowling Green State University,4.0,1997.0,21.0,650.0,84.0,0.396,212.0,0.515,1261.0,405.0,0.758,534.0,111.0,74.0,3700.0,33.3,Antonio Daniels,1.0,4.0,14.6,1789.0,16.1,98.7483618220731,18.0,165.0,2.9,197.0,80.0,2149920.0,Point Guard and Shooting Guard,1975-03-19,Right,1.5,3224880.0,3.0
4,72.0,0.8,162.0,Texas Tech University,5.0,1997.0,20.0,367.0,10.0,0.278,36.0,0.545,673.0,185.0,0.649,285.0,87.0,81.5,2152.0,24.7,Tony Battie,1.0,3.0,12.6,929.0,10.7,108.55308522729193,18.0,56.0,8.3,227.0,86.28291625189779,1946880.0,Center and Power Forward,1976-02-11,Right,1.5,2920320.0,2.0
5,147.0,1.9,18.0,University of Kentucky,6.0,1997.0,20.0,404.0,72.0,0.344,209.0,0.483,837.0,133.0,0.782,170.0,76.0,78.41655801825294,1976.0,26.0,Ron Mercer,1.0,2.0,12.5,1013.0,13.3,104.5220836660855,19.0,100.0,4.1,213.9072762395364,83.25422800222206,1768320.0,Shooting Guard and Small Forward,1976-05-18,Right,1.5,2652480.0,5.0
6,66.0,2.1,33.0,Villanova University,7.0,1997.0,19.0,187.0,47.0,0.336,140.0,0.45,416.0,121.0,0.7959999999999999,152.0,32.0,81.5,1005.0,31.4,Tim Thomas,1.0,1.0,14.0,542.0,16.9,108.55308522729193,19.0,56.0,6.0,240.0,86.28291625189779,1614240.0,Small Forward and Power Forward,1977-02-26,Right,1.5,2421360.0,2.0
7,134.0,1.5,492.0,Colgate University,8.0,1997.0,21.0,712.0,1.0,0.32657555501870233,10.0,0.547,1301.0,351.0,0.491,715.0,87.0,80.5,3178.0,36.5,Adonal Foyle,1.0,3.0,12.3,1776.0,20.4,107.24578877326277,19.0,61.0,12.7,263.0,89.5,1495000.0,Center,1975-03-09,Right,1.5,2242500.0,3.0
8,119.0,1.2,41.0,University of Cincinnati,10.0,1997.0,20.0,655.0,0.0,0.32657555501870233,3.0,0.565,1160.0,571.0,0.743,769.0,100.0,79.25,2692.0,26.9,Danny Fortson,1.0,3.0,16.2,1881.0,18.8,105.61166820572628,18.0,91.0,8.7,257.0,84.09182509024018,1291440.0,Power Forward and Center,1976-03-27,Right,1.5,1937160.0,3.0
9,109.0,1.3,48.0,San Jose State University,11.0,1997.0,22.0,430.0,49.0,0.322,152.0,0.477,901.0,275.0,0.726,379.0,87.0,77.5,2037.0,23.4,Tariq Abdul-Wahad,1.0,4.0,11.4,1184.0,13.6,103.32389941117522,19.0,83.0,5.4,216.0,82.38764307561759,1226880.0,Shooting Guard,1974-11-03,Right,1.5,1840320.0,11.0
