,name,per,no_of_seasons,start_age,end_age,g,mp,fg,fga,fg3,fg3a,ft,fta,orb,ast,stl,blk,tov,pf,pts,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g
0,Tim Duncan,24.2,4.0,17,20,128,4492,790,1368,17,53,520,755,,288,69,481,335,303,2117,.577,.321,.689,35.1,16.5,12.3,2.3
1,Keith Van Horn,16.8,4.0,18,21,122,3732,891,1706,206,514,554,651,,142,87,126,282,253,2542,.522,.401,.851,30.6,20.8,8.8,1.2
2,Chauncey Billups,18.8,2.0,19,20,55,1866,297,719,120,314,306,357,,282,104,8,203,128,1020,.413,.382,.857,33.9,18.5,5.6,5.1
3,Antonio Daniels,14.6,4.0,18,21,111,3700,650,1261,84,212,405,534,,573,165,30,314,167,1789,.515,.396,.758,33.3,16.1,2.9,5.2
4,Tony Battie,12.6,3.0,18,20,87,2152,367,673,10,36,185,285,,72,56,162,140,223,929,.545,.278,.649,24.7,10.7,8.3,0.8
5,Ron Mercer,12.5,2.0,19,20,76,1976,404,837,72,209,133,170,,147,100,18,104,146,1013,.483,.344,.782,26.0,13.3,4.1,1.9
6,Tim Thomas,14.0,1.0,19,19,32,1005,187,416,47,140,121,152,,66,56,33,91,88,542,.450,.336,.796,31.4,16.9,6.0,2.1
7,Adonal Foyle,12.3,3.0,19,21,87,3178,712,1301,1,10,351,715,,134,61,492,329,213,1776,.547,.100,.491,36.5,20.4,12.7,1.5
8,Danny Fortson,16.2,3.0,18,20,100,2692,655,1160,0,3,571,769,,119,91,41,258,345,1881,.565,.000,.743,26.9,18.8,8.7,1.2
9,Tariq Abdul-Wahad,11.4,4.0,19,22,87,2037,430,901,49,152,275,379,,109,83,48,191,231,1184,.477,.322,.726,23.4,13.6,5.4,1.3
10,Austin Croshere,14.3,4.0,18,21,121,2858,495,1125,147,432,386,458,,123,104,76,230,247,1523,.440,.340,.843,23.6,12.6,5.3,1.0
11,Derek Anderson,15.3,4.0,18,22,99,2463,408,846,91,250,321,399,,321,186,16,197,243,1228,.482,.364,.805,24.9,12.4,3.8,3.2
12,Maurice Taylor,13.1,3.0,18,20,97,2793,524,1053,5,16,201,313,,113,61,90,200,289,1254,.498,.313,.642,28.8,12.9,6.1,1.2
13,Kelvin Cato,14.4,3.0,19,22,79,1931,271,544,0,1,177,303,,49,67,274,128,228,719,.498,.000,.584,24.4,9.1,7.4,0.6
14,Brevin Knight,14.9,4.0,18,21,115,3703,515,1239,93,277,591,741,,780,298,13,404,323,1714,.416,.336,.798,32.2,14.9,3.8,6.8
