,college,draft_rank,draft_year,height_in,name,reach_in,weight_lb,wingspan_in
0,Wake Forest University,1,1997,,Tim Duncan,,,
1,University of Utah,2,1997,81.5,Keith Van Horn,,240,
2,University of Colorado,3,1997,75.0,Chauncey Billups,,207,
3,Bowling Green State University,4,1997,74.0,Antonio Daniels,,197,80.0
4,Texas Tech University,5,1997,81.5,Tony Battie,,227,
5,University of Kentucky,6,1997,,Ron Mercer,,,
6,Villanova University,7,1997,81.5,Tim Thomas,,240,
7,Colgate University,8,1997,80.5,Adonal Foyle,,263,89.5
8,University of Cincinnati,10,1997,79.25,Danny Fortson,,257,
9,San Jose State University,11,1997,77.5,Tariq Abdul-Wahad,,216,
10,Providence College,12,1997,81.0,Austin Croshere,,220,
11,University of Kentucky,13,1997,75.5,Derek Anderson,,188,
12,University of Michigan,14,1997,,Maurice Taylor,,,
13,Iowa State University,15,1997,82.5,Kelvin Cato,,241,
14,Stanford University,16,1997,69.5,Brevin Knight,,172,
15,University of Tennessee at Chattanooga,17,1997,,Johnny Taylor,,,
16,University of Kansas,19,1997,,Scot Pollard,,,
17,University of Wisconsin,20,1997,,Paul Grant,,,
18,Bradley University,21,1997,,Anthony Parker,,,
19,University of California,22,1997,,Ed Gray,,,
20,University of Minnesota,23,1997,71.0,Bobby Jackson,,184,
21,University of Southern California,24,1997,,Rodrick Rhodes,,,
22,University of Minnesota,25,1997,79.5,John Thomas,,260,
23,University of New Mexico,26,1997,,Charles Smith,,,
24,University of Kansas,27,1997,71.0,Jacque Vaughn,,193,
25,University of Maryland,28,1997,,Keith Booth,,,
26,"University of California, Los Angeles",31,1997,,Charles O'Bannon,,196,83.0
27,"California State University, Long Beach",32,1997,,James Cotton,,,
28,Austin Peay State University,34,1997,,Bubba Wells,,,
29,"California State University, Bakersfield",35,1997,78.5,Kebu Stewart,,244,
30,Florida State University,36,1997,,James Collins,,,
31,Temple University,37,1997,,Marc Jackson,,,
32,Tulane University,38,1997,78.75,Jerald Honeycutt,, ,
33,College of Charleston,39,1997,75.0,Anthony Johnson,,210,81.0
34,Villanova University,41,1997,,Jason Lawson,,,
35,Butler County Community College,42,1997,78.0,Stephen Jackson,,204,
36,University of Memphis,44,1997,,Cedric Henderson,,,
37,Providence College,45,1997,,God Shammgod,,,
38,University of Alabama,46,1997,,Eric Washington,,,
39,Villanova University,47,1997,,Alvin Williams,,,
40,Marquette University,50,1997,,Chris Crawford,,,
41,University of Louisville,51,1997,,DeJuan Wheat,,,
42,University of Pittsburgh,54,1997,,Mark Blount,,,
43,University of the Pacific,1,1998,83.75,Michael Olowokandi,,269,92.0
44,University of Arizona,2,1998,73.0,Mike Bibby,,194,
45,University of Kansas,3,1998,83.5,Raef LaFrentz,,235,
46,University of North Carolina,4,1998,79.75,Antawn Jamison,,230,
47,University of North Carolina,5,1998,77.5,Vince Carter,,219,
48,University of Michigan,6,1998,79.5,Robert Traylor,,288,
49,University of Florida,7,1998,,Jason Williams,,,
50,Saint Louis University,8,1998,76.5,Larry Hughes,,183,
51,University of Kansas,10,1998,78.0,Paul Pierce,,229,
52,Ball State University,11,1998,77.0,Bonzi Wells,,213,
53,University of Utah,12,1998,,Michael Doleac,,,
54,"University of Nevada, Las Vegas",13,1998,82.5,Keon Clark,,220,
55,University of Arizona,14,1998,,Michael Dickerson,,,
56,Georgia Institute of Technology,15,1998,78.5,Matt Harpring,,231,
57,Valparaiso University,16,1998,74.0,Bryce Drew,,187,
58,University of Notre Dame,19,1998,81.0,Pat Garrity,,237,
59,Duke University,20,1998,80.0,Roshown McLeod,,221,
60,University of Iowa,21,1998,77.5,Ricky Davis,,201,
61,Baylor University,22,1998,81.0,Brian Skinner,,255,
62,University of Nebraska,23,1998,,Tyronn Lue,,,
63,St. John's University,24,1998,76.75,Felipe Lopez,,198,
64,University of Minnesota,26,1998,76.0,Sam Jacobson,,219,
65,Oregon State University,28,1998,77.5,Corey Benjamin,,203,
66,University of Kentucky,29,1998,82.0,Nazr Mohammed,,221,
67,University of Mississippi,30,1998,80.0,Ansu Sesay,,223,
68,University of Cincinnati,31,1998,77.0,Ruben Patterson,,224,
69,"University of California, Los Angeles",33,1998,82.0,Jelani McCoy,,245,
70,University of North Carolina,34,1998,73.0,Shammond Williams,,200,
71,Florida Agricultural and Mechanical University,36,1998,83.5,Jerome James,,315,
72,University of Toledo,37,1998,,Casey Shaw,,,
73,University of North Carolina at Charlotte,38,1998,79.0,DeMarco Johnson,,244,
74,"California State University, Fresno",39,1998,73.75,Rafer Alston,,170,
75,University of Rhode Island,41,1998,,Cuttino Mobley,,,
76,University of Arizona,42,1998,75.0,Miles Simon,,202,
77,Georgetown University,43,1998,81.0,Jahidi White,,293,
78,University of California,44,1998,82.0,Sean Marks,,242,
79,"University of California, Los Angeles",45,1998,,Toby Bailey,,,
80,Indiana University,46,1998,,Andrae Patterson,,,
81,University of Rhode Island,47,1998,71.5,Tyson Wheeler,,165,
82,University of South Carolina,48,1998,,Ryan Stack,,,
83,Texas Tech University,49,1998,75.0,Cory Carr,,211,
84,Eastern Michigan University,52,1998,76.0,Derrick Dial,,184,
85,Clemson University,53,1998,75.5,Greg Buckner,,210,
86,"California State University, Fresno",54,1998,79.0,Tremaine Fowlkes,,208,
87,University of Iowa,55,1998,80.75,Ryan Bowen,,212,
88,"University of California, Los Angeles",56,1998,81.0,J.R. Henderson,,226,
89,Xavier University,57,1998,78.0,Torraye Braggs,,237,
90,University of Michigan,58,1998,,Maceo Baston,,,
91,Duke University,1,1999,80.25,Elton Brand,110.0,260,89.5
92,University of Maryland,2,1999,74.5,Steve Francis,,195,
93,"University of California, Los Angeles",3,1999,74.5,Baron Davis,,209,
94,University of Rhode Island,4,1999,,Lamar Odom,,,
95,Miami University,6,1999,79.5,Wally Szczerbiak,,243,
96,University of Connecticut,7,1999,,Richard Hamilton,,,
97,University of Utah,8,1999,,Andre Miller,,,
98,"University of Nevada, Las Vegas",9,1999,78.5,Shawn Marion,,220,
99,University of Arizona,10,1999,73.5,Jason Terry,,176,
100,Duke University,11,1999,,Trajan Langdon,,,
101,Barton County Community College,12,1999,,Aleksandar Radojevic,,,
102,Duke University,13,1999,,Corey Maggette,,,
103,Duke University,14,1999,,William Avery,,,
104,St. John's University,16,1999,,Metta World Peace,,,
105,Old Dominion University,17,1999,,Cal Bowdler,,,
106,Xavier University,18,1999,78.5,James Posey,,208,84.0
107,University of Minnesota,19,1999,,Quincy Lewis,,,
108,Georgia Institute of Technology,20,1999,,Dion Glover,,,
109,Texas State University,21,1999,,Jeff Foster,,,
110,University of New Mexico,22,1999,78.5,Kenny Thomas,,NANANANA00NANANANANANANANA22,
111,Augsburg College,23,1999,78.5,Devean George,,220,
112,University of Miami,25,1999,,Tim James,,,
113,University of Pittsburgh,26,1999,,Vonteego Cummings,,,
114,University of Georgia,27,1999,79.5,Jumaine Jones,,218,
115,University of Kentucky,28,1999,,Scott Padgett,,,
116,Villanova University,30,1999,,John Celestand,,,
117,University of Tulsa,32,1999,,Michael Ruffin,,,
118,"California State University, Fresno",33,1999,,Chris Herren,,,
119,Northwestern University,34,1999,83.5,Evan Eschmeyer,110.0,261,85.0
120,Pennsylvania State University,35,1999,,Calvin Booth,,,
121,University of Maryland,37,1999,,Obinna Ekezie,,,
122,University of Maryland,38,1999,,Laron Profit,,,
123,University of Arizona,39,1999,,A.J. Bramlett,,,
124,University of California,41,1999,,Francisco Elson,,,
125,Texas Christian University,43,1999,,Lee Nailon,,,
126,University of Kansas,45,1999,,Ryan Robertson,,,
127,University of Washington,47,1999,83.75,Todd MacCulloch,,NANANANA00NANANANANANANANA47,
128,University of Massachusetts Amherst,49,1999,,Lari Ketner,,,
129,University of Nebraska,50,1999,,Venson Hamilton,,,
130,Creighton University,53,1999,,Rodney Buford,,,
131,Stanford University,56,1999,,Tim Young,,,
132,University of Cincinnati,1,2000,,Kenyon Martin,,,
133,Louisiana State University,2,2000,,Stromile Swift,,,
134,Iowa State University,4,2000,,Marcus Fizer,,,
135,University of Florida,5,2000,,Mike Miller,,,
136,University of Cincinnati,6,2000,,DerMarr Johnson,,,
137,University of Texas at Austin,7,2000,,Chris Mihm,,,
138,University of Michigan,8,2000,76.5,Jamal Crawford,102.5,175,82.0
139,University of Minnesota,9,2000,,Joel Przybilla,,,
140,University of Missouri,10,2000,,Keyon Dooling,,,
141,"University of California, Los Angeles",11,2000,,Jerome Moiso,,,
142,Syracuse University,12,2000,,Etan Thomas,,,
143,"California State University, Fresno",13,2000,,Courtney Alexander,,,
144,Michigan State University,14,2000,,Mateen Cleaves,,,
145,Georgia Institute of Technology,15,2000,,Jason Collier,,,
146,Oklahoma State University,17,2000,,Desmond Mason,,,
147,DePaul University,18,2000,,Quentin Richardson,,,
148,University of Kentucky,19,2000,,Jamaal Magloire,,,
149,Hofstra University,20,2000,70.5,Speedy Claxton,94.5,166,72.0
150,Michigan State University,21,2000,,Morris Peterson,,,
151,University of Florida,22,2000,79.25,Donnell Harvey,105.5,220,84.5
152,Auburn University,26,2000,,Mamadou N'Diaye,,,
153,St. John's University,28,2000,,Erick Barkley,,,
154,Stanford University,29,2000,80.0,Mark Madsen,104.5,237,84.5
155,Vanderbilt University,31,2000,81.0,Dan Langhi,104.0,198,80.0
156,Indiana University,32,2000,72.75,A.J. Guyton,97.5,175,75.75
157,University of Connecticut,33,2000,,Jake Voskuhl,,,
158,University of Connecticut,34,2000,69.0,Khalid El-Amin,93.0,200,73.5
159,University of Louisiana at Monroe,35,2000,76.75,Mike Smith,99.75,223,79.0
160,Arizona State University,37,2000,71.75,Eddie House,95.0,177,75.5
161,University of Oklahoma,38,2000,78.5,Eduardo Najera,104.5,235,83.5
162,St. John's University,39,2000,76.5,Lavor Postell,101.5,205,80.5
163,University of Utah,40,2000,,Hanno Mottola,,,
164,Ohio State University,43,2000,76.75,Michael Redd,102.0,214,81.0
165,Purdue University,44,2000,,Brian Cardinal,,,
166,Louisiana State University,45,2000,81.75,Jabari Smith,109.5,241,86.5
167,Syracuse University,49,2000,73.75,Jason Hart,97.5,181,78.0
