,college,name,draft_rank,draft_year
0,Wake Forest University,Tim Duncan,1,1997
1,University of Utah,Keith Van Horn,2,1997
2,University of Colorado,Chauncey Billups,3,1997
3,Bowling Green State University,Antonio Daniels,4,1997
4,Texas Tech University,Tony Battie,5,1997
5,University of Kentucky,Ron Mercer,6,1997
6,Villanova University,Tim Thomas,7,1997
7,Colgate University,Adonal Foyle,8,1997
8,University of Cincinnati,Danny Fortson,10,1997
9,San Jose State University,Tariq Abdul-Wahad,11,1997
10,Providence College,Austin Croshere,12,1997
11,University of Kentucky,Derek Anderson,13,1997
12,University of Michigan,Maurice Taylor,14,1997
13,Iowa State University,Kelvin Cato,15,1997
14,Stanford University,Brevin Knight,16,1997
15,University of Tennessee at Chattanooga,Johnny Taylor,17,1997
16,University of Kansas,Scot Pollard,19,1997
17,University of Wisconsin,Paul Grant,20,1997
18,Bradley University,Anthony Parker,21,1997
19,University of California,Ed Gray,22,1997
20,University of Minnesota,Bobby Jackson,23,1997
21,University of Southern California,Rodrick Rhodes,24,1997
22,University of Minnesota,John Thomas,25,1997
23,University of New Mexico,Charles Smith,26,1997
24,University of Kansas,Jacque Vaughn,27,1997
25,University of Maryland,Keith Booth,28,1997
26,"University of California, Los Angeles",Charles O'Bannon,31,1997
27,"California State University, Long Beach",James Cotton,32,1997
28,Austin Peay State University,Bubba Wells,34,1997
29,"California State University, Bakersfield",Kebu Stewart,35,1997
30,Florida State University,James Collins,36,1997
31,Temple University,Marc Jackson,37,1997
32,Tulane University,Jerald Honeycutt,38,1997
33,College of Charleston,Anthony Johnson,39,1997
34,Villanova University,Jason Lawson,41,1997
35,Butler County Community College,Stephen Jackson,42,1997
36,University of Memphis,Cedric Henderson,44,1997
37,Providence College,God Shammgod,45,1997
38,University of Alabama,Eric Washington,46,1997
39,Villanova University,Alvin Williams,47,1997
40,Marquette University,Chris Crawford,50,1997
41,University of Louisville,DeJuan Wheat,51,1997
42,University of Pittsburgh,Mark Blount,54,1997
43,University of the Pacific,Michael Olowokandi,1,1998
44,University of Arizona,Mike Bibby,2,1998
45,University of Kansas,Raef LaFrentz,3,1998
46,University of North Carolina,Antawn Jamison,4,1998
47,University of North Carolina,Vince Carter,5,1998
48,University of Michigan,Robert Traylor,6,1998
49,University of Florida,Jason Williams,7,1998
50,Saint Louis University,Larry Hughes,8,1998
51,University of Kansas,Paul Pierce,10,1998
52,Ball State University,Bonzi Wells,11,1998
53,University of Utah,Michael Doleac,12,1998
54,"University of Nevada, Las Vegas",Keon Clark,13,1998
55,University of Arizona,Michael Dickerson,14,1998
56,Georgia Institute of Technology,Matt Harpring,15,1998
57,Valparaiso University,Bryce Drew,16,1998
58,University of Notre Dame,Pat Garrity,19,1998
59,Duke University,Roshown McLeod,20,1998
60,University of Iowa,Ricky Davis,21,1998
61,Baylor University,Brian Skinner,22,1998
62,University of Nebraska,Tyronn Lue,23,1998
