,name,salary,position,birthday,shoot
0,Tim Duncan,2967840.0,Center and Power Forward,1976-04-25,Right
1,Keith Van Horn,2655360.0,Small Forward and Power Forward,1975-10-23,Right
2,Chauncey Billups,2384640.0,Point Guard and Shooting Guard,1976-09-25,Right
3,Antonio Daniels,2149920.0,Point Guard and Shooting Guard,1975-03-19,Right
4,Tony Battie,1946880.0,Center and Power Forward,1976-02-11,Right
5,Ron Mercer,1768320.0,Shooting Guard and Small Forward,1976-05-18,Right
6,Tim Thomas,1614240.0,Small Forward and Power Forward,1977-02-26,Right
7,Adonal Foyle,1495000.0,Center,1975-03-09,Right
8,Danny Fortson,1291440.0,Power Forward and Center,1976-03-27,Right
9,Tariq Abdul-Wahad,1226880.0,Shooting Guard,1974-11-03,Right
10,Austin Croshere,1165440.0,Power Forward,1975-05-01,Right
11,Derek Anderson,1107240.0,Shooting Guard and Small Forward and Point Guard,1974-07-18,Right
12,Maurice Taylor,1051800.0,Power Forward and Small Forward and Center,1976-10-30,Right
13,Kelvin Cato,999240.0,Center and Power Forward,1974-08-26,Right
14,Brevin Knight,949320.0,Point Guard,1975-11-08,Right
15,Johnny Taylor,901880.0,Small Forward,1974-06-04,Right
16,Scot Pollard,818160.0,Center,1975-02-12,Right
17,Paul Grant,785400.0,Center,1974-01-06,Right
18,Anthony Parker,754080.0,Shooting Guard and Small Forward,1975-06-19,Right
19,Ed Gray,723840.0,Shooting Guard,1975-09-27,Right
20,Bobby Jackson,694920.0,Point Guard and Shooting Guard,1973-03-13,Right
21,Rodrick Rhodes,555900.0,Small Forward and Shooting Guard,1973-09-24,Right
22,John Thomas,640440.0,Center and Power Forward,1975-09-08,Right
23,Charles Smith,619200.0,Shooting Guard,1975-08-22,Right
24,Jacque Vaughn,601320.0,Point Guard and Shooting Guard,1975-02-11,Right
25,Keith Booth,597600.0,Small Forward,1974-10-09,Right
26,Charles O'Bannon,320000.0,Shooting Guard,1975-02-22,Right
27,James Cotton,242000.0,Shooting Guard,1975-12-14,Left
28,Bubba Wells,260000.0,Shooting Guard,1974-07-26,Right
29,Kebu Stewart,242000.0,Power Forward,1973-12-19,Right
30,James Collins,242000.0,Shooting Guard,1973-11-05,Right
31,Marc Jackson,316969.0,Center and Power Forward,1975-01-16,Right
32,Jerald Honeycutt,300000.0,Power Forward,1974-10-20,Right
33,Anthony Johnson,242000.0,Point Guard and Shooting Guard,1974-10-02,Right
34,Jason Lawson,242250.0,Center,1974-09-02,Right
35,Stephen Jackson,316969.0,Small Forward and Shooting Guard and Power Forward,1978-04-05,Right
36,Cedric Henderson,250000.0,Small Forward,1975-03-11,Right
37,God Shammgod,242250.0,Point Guard,1976-04-29,Right
38,Eric Washington,242000.0,Shooting Guard,1974-03-23,Right
39,Alvin Williams,242000.0,Point Guard and Shooting Guard,1974-08-06,Right
40,Chris Crawford,242000.0,Power Forward,1975-05-13,Right
41,DeJuan Wheat,242000.0,Point Guard,1973-10-14,Right
42,Mark Blount,316969.0,Center,1975-11-30,Right
43,Michael Olowokandi,2700000.0,Center,1975-04-03,Right
44,Mike Bibby,2400000.0,Point Guard,1978-05-13,Right
45,Raef LaFrentz,2150000.0,Center and Power Forward,1976-05-29,Left
46,Antawn Jamison,1940000.0,Power Forward and Small Forward,1976-06-12,Right
47,Vince Carter,1760000.0,Shooting Guard and Small Forward,1977-01-26,Right
48,Robert Traylor,1590000.0,Center and Power Forward,1977-02-01,Right
49,Jason Williams,1460000.0,Point Guard,1975-11-18,Right
50,Larry Hughes,1330000.0,Shooting Guard and Point Guard and Small Forward,1979-01-23,Right
51,Paul Pierce,1165000.0,Small Forward and Shooting Guard,1977-10-13,Right
52,Bonzi Wells,1100000.0,Shooting Guard and Small Forward,1976-09-28,Right
53,Michael Doleac,1050000.0,Center,1977-06-15,Right
54,Keon Clark,1000000.0,Center and Power Forward,1975-04-16,Left
55,Michael Dickerson,949600.0,Shooting Guard,1975-06-25,Right
56,Matt Harpring,900000.0,Small Forward and Shooting Guard,1976-05-31,Right
57,Bryce Drew,857000.0,Point Guard,1974-09-21,Right
58,Pat Garrity,740000.0,Power Forward and Small Forward,1976-08-23,Right
59,Roshown McLeod,740000.0,Small Forward,1975-11-17,Right
60,Ricky Davis,680000.0,Shooting Guard and Small Forward,1979-09-23,Right
61,Brian Skinner,653500.0,Power Forward and Center,1976-05-19,Right
62,Tyronn Lue,287500.0,Point Guard,1977-05-03,Right
63,Felipe Lopez,600000.0,Shooting Guard and Point Guard,1974-12-19,Right
64,Sam Jacobson,559000.0,Point Guard,1975-07-22,Right
65,Corey Benjamin,540000.0,Shooting Guard and Point Guard,1978-02-24,Right
66,Nazr Mohammed,535000.0,Center,1977-09-05,Right
67,Ansu Sesay,287500.0,Small Forward,1976-07-29,Left
68,Ruben Patterson,628500.0,Small Forward and Shooting Guard,1975-07-31,Right
69,Jelani McCoy,287500.0,Center,1977-12-06,Right
70,Shammond Williams,500000.0,Point Guard and Shooting Guard,1975-04-05,Right
71,Jerome James,287500.0,Center,1975-11-17,Right
72,Casey Shaw,287500.0,Center,1975-07-20,Right
73,DeMarco Johnson,111871.0,Power Forward,1975-10-06,Right
74,Rafer Alston,301875.0,Point Guard,1976-07-24,Right
75,Cuttino Mobley,287500.0,Shooting Guard and Small Forward and Point Guard,1975-09-01,Left
76,Miles Simon,287500.0,Shooting Guard,1975-11-21,Right
77,Jahidi White,385000.0,Center and Power Forward,1976-02-19,Right
78,Sean Marks,287500.0,Power Forward and Center,1975-08-23,Right
79,Toby Bailey,287500.0,Shooting Guard,1975-11-19,Right
80,Andrae Patterson,287500.0,Power Forward,1975-11-12,Right
81,Tyson Wheeler,,Point Guard,1975-10-08,Right
82,Ryan Stack,287500.0,Power Forward,1975-07-24,Right
83,Cory Carr,287500.0,Shooting Guard,1975-12-05,Right
